Date,Open,High,Low,Close,Adj Close,Volume
2018-08-01,55.389999,55.700001,55.360001,55.480000,54.840576,4680252
2018-08-02,55.009998,55.389999,54.680000,54.950001,54.316689,5284889
2018-08-03,55.099998,55.310001,54.619999,54.779999,54.148643,4087898
2018-08-06,54.759998,55.070000,54.509998,54.950001,54.316689,2784916
2018-08-07,55.000000,56.189999,55.000000,55.959999,55.315044,4165539
2018-08-08,55.970001,56.270000,55.450001,55.500000,54.860348,3659732
2018-08-09,55.310001,55.439999,55.119999,55.259998,54.623112,3272824
2018-08-10,54.720001,54.759998,53.779999,53.950001,53.328213,6634461
2018-08-13,54.009998,54.639999,54.009998,54.090000,53.466599,3911784
2018-08-14,54.020000,54.150002,53.549999,53.549999,52.932819,4891295
2018-08-15,53.570000,53.639999,51.860001,52.070000,51.469879,7661481
2018-08-16,52.200001,52.580002,52.029999,52.360001,51.756538,5189725
2018-08-17,52.520000,52.590000,52.009998,52.400002,51.796078,3842132
2018-08-20,52.709999,53.209999,52.630001,52.900002,52.290314,3125213
2018-08-21,52.900002,53.549999,52.799999,53.209999,52.596741,3193620
2018-08-22,52.980000,53.990002,52.930000,53.730000,53.110748,4129541
2018-08-23,53.279999,54.310001,53.279999,54.169998,53.545673,3874292
2018-08-24,54.209999,54.980000,54.189999,54.869999,54.237606,3979321
2018-08-27,54.959999,55.660000,54.950001,55.419998,54.781269,3616754
2018-08-28,55.380001,55.480000,54.799999,54.799999,54.168415,3732955
2018-08-29,54.500000,54.930000,54.310001,54.849998,54.217838,3288345
2018-08-30,54.540001,54.919998,54.369999,54.650002,54.020145,3306266
2018-08-31,54.480000,54.549999,53.869999,53.869999,53.249134,6062920
2018-09-03,53.689999,54.250000,53.660000,54.139999,53.516022,2133688
2018-09-04,54.119999,54.310001,53.580002,53.630001,53.011902,4591347
2018-09-05,53.090000,53.349998,52.529999,52.529999,51.924576,7007681
2018-09-06,52.570000,52.779999,52.029999,52.029999,51.430340,5580162
2018-09-07,52.139999,52.270000,51.570000,51.990002,51.390804,4386829
2018-09-10,51.910000,52.279999,51.759998,51.880001,51.282070,3969608
2018-09-11,52.400002,52.980000,51.980000,52.980000,52.369392,5730992
2018-09-12,53.099998,53.990002,53.099998,53.880001,53.259018,5562533
2018-09-13,53.619999,54.070000,53.459999,53.529999,52.913052,4872368
2018-09-14,53.570000,54.029999,53.520000,53.860001,53.239250,4427316
2018-09-17,53.720001,54.000000,53.599998,53.709999,53.090977,3600708
2018-09-18,53.509998,54.130001,53.480000,53.980000,53.357864,5144219
2018-09-19,54.000000,54.220001,53.750000,54.049999,53.427059,4967889
2018-09-20,54.110001,54.930000,54.110001,54.740002,54.109108,6700771
2018-09-21,54.470001,55.169998,54.470001,54.900002,54.267265,14412539
2018-09-24,54.990002,55.740002,54.990002,55.529999,54.889999,6891452
2018-09-25,55.250000,55.860001,55.070000,55.590000,55.590000,8293381
2018-09-26,55.560001,55.740002,55.099998,55.430000,55.430000,7399283
2018-09-27,55.389999,56.169998,55.369999,56.020000,56.020000,6844886
2018-09-28,55.779999,56.189999,55.240002,55.840000,55.840000,6779625
2018-10-01,56.110001,56.480000,56.000000,56.369999,56.369999,4797525
2018-10-02,56.380001,56.680000,55.970001,56.200001,56.200001,5208653
2018-10-03,56.259998,56.500000,56.000000,56.299999,56.299999,4769760
2018-10-04,56.189999,56.820000,56.070000,56.070000,56.070000,5386309
2018-10-05,55.860001,56.169998,55.130001,55.130001,55.130001,5738692
2018-10-08,54.919998,55.150002,53.900002,54.049999,54.049999,5187149
2018-10-09,54.450001,54.900002,54.259998,54.830002,54.830002,5804198
2018-10-10,55.209999,56.259998,54.750000,55.099998,55.099998,7088986
2018-10-11,53.910000,54.369999,53.209999,53.209999,53.209999,10086659
2018-10-12,53.910000,54.070000,52.930000,52.930000,52.930000,6362064
2018-10-15,53.000000,53.910000,52.950001,53.549999,53.549999,5826673
2018-10-16,53.590000,53.959999,52.590000,53.820000,53.820000,5338538
2018-10-17,54.000000,54.020000,53.060001,53.459999,53.459999,5142636
2018-10-18,53.500000,53.849998,52.799999,52.799999,52.799999,4844602
2018-10-19,53.150002,53.560001,52.779999,52.830002,52.830002,8060058
2018-10-22,53.230000,53.259998,52.020000,52.080002,52.080002,3910479
2018-10-23,51.880001,52.160000,50.820000,51.060001,51.060001,6267992
